wetlands,livestock,coal,ong,landfills,wastewater,other_anth,other_bio
842.8482065525818,0.0,0.0,1.8524863407078203,0.0,0.055258158662736284,1.8424235865464613,13.055163199556826
1198.1442313441994,0.0,0.0,0.0,0.0,0.0542112797704029,0.28652983436796503,13.055163199556826
1210.5664435998174,0.0,0.0,0.0,0.0,0.05421113788744839,0.12161528736213939,13.055163199556826
1213.3323800186831,0.0,0.0,2.3326589166791805,0.0,0.04217348900632252,0.4409571893029823,13.055163199556826
1190.064973128362,0.0,0.0,4.776540956753453,0.0,0.04021724280233295,1.018083443043969,13.055163199556826
1699.666263369178,0.0,0.0,0.0,0.0,0.05421113788744839,0.04380608476506744,14.91848095703052
2209.252988237167,0.0,0.0,0.0,0.0,0.05421125335169182,0.0,16.783260872183142
403.6933650017566,0.0,0.0,0.0,0.0,0.05421116234285115,0.0,16.783260872183142
192.8562656034615,0.0,0.0,0.0,0.0,0.05421113788744839,0.0,16.783260872183142
169.00383776740287,0.0,0.0,0.0,100.51853980784672,0.0542112797704029,0.0,16.783260872183142
50.70169391073163,0.0,0.0,0.0,0.0,0.05421113788744839,0.0,16.783260872183142
0.0,0.0,0.0,0.0,0.0,0.05421116894752892,0.0,16.783260872183142
0.0,0.0,0.0,0.0,0.0,0.05421125335169182,0.0,16.783260872183142
1549.774832915153,0.0,0.0,0.0,0.0,0.051086995271289536,0.0,16.783260872183142
3099.549665830306,0.0,0.0,0.0,0.0,0.04796067460430456,0.0,16.783260872183142
1160.381839313902,0.0,0.0,0.0,0.0,0.04796057699078611,0.0,16.783260872183142
920.0852319467166,0.0,0.0,0.0,0.0,0.047960547016406035,0.0,16.783260872183142
862.184706709801,0.0,0.0,0.0,0.0,0.047960699313037425,0.0,16.783260872183142
686.8664598082686,0.0,0.0,0.0,0.0,0.02052804450092627,0.0,16.783260872183142
647.6424263828994,0.0,0.0,0.0,0.0,0.0,0.09860368913175932,372.59002826464626
970.7992490347463,0.0,0.0,0.0,0.0,0.0,0.17678781397999296,2441.003784254808
1055.979458303447,0.0,0.0,0.0,0.0,0.0,0.12263159816815283,21.21458131233474
1141.2286981789664,0.0,0.0,0.0,0.0,0.0,0.0,25.644451312265762
1182.2391265569204,0.0,0.0,0.0,0.0,0.0,0.0,25.644451312265762
1052.3710509983093,0.0,0.0,0.0,0.0,0.0,0.0,25.644451312265762
738.8258087547655,0.0,0.0,0.0,0.0,0.0,0.0,646.7663708544902
624.1951937947023,0.0,0.0,0.0,0.0,0.07465693285683207,0.0,894.2873621201236
568.2989113762414,0.0,0.0,0.0,0.0,0.10665167383558469,0.0,96.49663902217804
507.4928331306132,0.0,0.0,0.0,0.0,0.10665188495003824,0.0,25.644451312265762
534.0137254800685,0.0,0.0,0.0,0.0,0.10665162049150231,0.0,26.5451821681287
560.5219823746647,0.0,0.0,0.0,0.0,0.10665188495003824,0.0,26.184890112987485
423.79863546034085,0.0,0.0,0.0,0.0,0.10665167383558469,0.0,41.06324177689627
422.8994348202308,0.0,0.0,0.0,0.0,0.10665162049150231,0.0,178.6316345972461
456.24403261905445,0.0,0.0,0.0,0.0,0.1066524948784591,0.0,175.81385677028678
337.0634368597159,0.0,0.0,0.0,0.0,0.10665162049150231,0.0,175.81385677028678
286.86531609068254,0.0,0.0,0.0,0.0,0.10665167383558469,0.0,161.14745607736987
294.7934045181375,0.0,0.0,0.0,0.0,0.10665188495003824,0.18001590170251383,29.15100711268429
335.5866535414467,0.0,0.0,0.15474168883084635,0.0,0.10665162049150231,0.4956311953855707,31.78203906465622
376.3849098870573,0.0,0.0,0.07813907568923932,0.0,0.10665188495003824,0.05582140575490489,34.154736507003854
344.7260488274431,0.0,0.0,23.985590077839316,0.0,0.10665167383558469,0.12159589602820528,41.51344597194066
378.76437376496244,0.0,0.0,34.381383697704706,0.0,0.10665162049150231,0.1332474866376457,42.3427762570415
466.38075608515805,0.0,0.0,175.69031707065227,0.0,0.1066524948784591,0.2916324030712873,42.3427762570415
