,bc_lb_rf0.2_sax0.5_poi80.0,bc_lb_rf0.45_sax0.75_poi80.0,bc_mb_rf0.175_sax0.5_poi80.0,bc_mb_rf0.3_sax0.75_poi80.0,bc_mb_rf0.5_sax1.0_poi80.0,lb_rf0.175_sax0.5_poi80.0,lb_rf0.35_sax0.75_poi80.0,mb_rf0.175_sax0.75_poi80.0
18476,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18477,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18478,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18479,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18480,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18481,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18482,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18483,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18484,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18485,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18486,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18487,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18488,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18489,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18490,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18491,1.0,1.0,1.0,1.0,1.4375691114817784,1.0,1.0,1.0
18492,0.6427260592048358,0.5825473239815406,0.5690784722277806,0.5641723089052944,0.6704008685060057,0.6522599085487828,0.6779404225397276,0.531913525567461
18493,0.9059681439825971,0.7224800464220973,0.8252061153492649,0.681508825844146,0.440937020080284,0.9267525825767908,0.7730120643509615,0.6570281035333574
18494,0.6933772364524358,0.7314864918112569,0.6975007272234124,0.9111471916626055,1.2238624709650274,0.8062907448998247,1.006878567386467,1.0449779703839122
18495,1.2929190479852495,1.5747184056001025,1.0606676543760365,1.1318893993802135,1.594298214713092,1.0787115996152714,1.2151846586710557,0.524727189770271
18496,0.9353006857243147,0.8009336854026721,1.015235154622303,0.9069861519672031,0.6283976785306606,1.031617201827123,0.9348389678699647,1.23825042944474
