,bc_lb_rf0.2_sax0.5_poi80.0,bc_lb_rf0.45_sax0.75_poi80.0,bc_mb_rf0.175_sax0.5_poi80.0,bc_mb_rf0.3_sax0.75_poi80.0,bc_mb_rf0.5_sax1.0_poi80.0,lb_rf0.175_sax0.5_poi80.0,lb_rf0.35_sax0.75_poi80.0,mb_rf0.175_sax0.75_poi80.0
15251,0.10322707350655247,0.20709832450395,0.09590009270607608,0.18042467337954837,0.2473522475031907,0.09594317370137528,0.19072096127000596,0.14460997966880512
15252,0.0687526009470436,0.13678645898846928,0.06393391709888549,0.11930875387167657,0.163318399122455,0.06394540370363234,0.12603921999513445,0.09588116754821518
15253,0.0,0.08341725329074698,0.0,0.072343201266042,0.1001679275390735,0.0,0.07661426208791164,0.057541541912408775
15254,0.0,0.09793464829831608,0.0,0.08459805534859699,0.11793330423850552,0.0,0.08974920015206582,0.06668294272863579
15255,0.0,0.0861326604319893,0.0,0.0744256342681404,0.10373167216773231,0.0,0.07894708390130549,0.05871681300184213
15256,0.07035436309981163,0.1487975452478025,0.06500193184313972,0.1283597988677014,0.17999454806047485,0.06500203133455973,0.13621092726917466,0.10118759832769027
15257,0.06277741873332546,0.13666752127399154,0.057803116682911715,0.11725362485617667,0.1664893915185606,0.057806254076987,0.12469984022406802,0.09160468532419587
15258,0.07193319731233555,0.15873329855827145,0.06619356457897586,0.13566016387500218,0.19450647118839173,0.06619841193893221,0.1444845515398889,0.10546733938005516
15259,0.08994879316230321,0.19492314340420533,0.0829778961548755,0.16699139180905145,0.2385580348868814,0.08299135563227197,0.17767798960271333,0.13052824854200817
15260,0.08271700072867047,0.17602718057778857,0.07634118018704428,0.15164181527517695,0.21340816099153023,0.07635472472227393,0.16101137254311326,0.11932092436459892
15261,0.06135082723706509,0.12868629615750762,0.05669927959790102,0.11123918961520324,0.15499958318750026,0.05672339457824042,0.11797050568423026,0.08793281865151749
15262,0.10820466401969986,0.22667505084806236,0.10000132377910481,0.19604992358239556,0.2731234870185791,0.10000850707695359,0.20783675709437643,0.15507205138793
15263,0.13802862145198871,0.2766013953268495,0.128108878161097,0.24136029084492844,0.32984277318272265,0.12813110296558072,0.25496202155278985,0.1937157235167556
15264,0.12259512923736203,0.24241796458205195,0.1136871836175533,0.21291096717251215,0.28532663109966966,0.11371417177641388,0.22439020383003377,0.17187904628073364
15265,0.08297668013197726,0.174006823820918,0.07656449726675095,0.15078253323696444,0.20858890131796967,0.0765964773728799,0.1597744578931778,0.1193642289727266
15266,0.06313218357716947,0.13256203279293177,0.05822997572439865,0.11489624687402858,0.1587970487127437,0.05824557689373024,0.12173019704752487,0.09092526386908518
15267,0.0558761685998409,0.1180517121022582,0.05154865005638483,0.10209423701085688,0.1419134732189573,0.05155507448606668,0.10825333443284015,0.08058063287155012
15268,0.07722112513154175,0.1666465819720745,0.07112791643438453,0.14339540302894072,0.20173989863072522,0.07116599347588717,0.15236649479673092,0.1123829342972843
15269,0.09160511254752823,0.19439066139859607,0.08459314881531266,0.16757880066704955,0.23525865389847742,0.08460046574539258,0.17787785064043837,0.13194692681661344
15270,0.09311740997981871,0.19877115230269754,0.0861014428226685,0.17057370388811596,0.24295715621554131,0.08612502441906594,0.1813549864643975,0.1338811850097954
15271,0.06441674098787792,0.1370229132598363,0.0595156394778695,0.11787421267091941,0.16652298976815347,0.05954881147188964,0.12523662054421042,0.09270025845250195
15272,0.0,0.09750638676176698,0.0,0.08394752324074169,0.1181347591765357,0.0,0.08918801681439406,0.06601115375813885
15273,0.0,0.05125033048605966,0.0,0.0,0.06225947086440789,0.0,0.0,0.0
15274,0.0,0.05917015274090723,0.0,0.051219847202917244,0.07098784411574027,0.0,0.0542963761140951,0.0
15275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15276,0.05363556053031103,0.1093012454618317,0.0,0.09541798106181422,0.1294399453012005,0.0,0.10082832530730824,0.07626292671872749
15277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15281,0.08765896585053538,0.15739612929729732,0.08244543856354385,0.14039997135186041,0.18207580900596954,0.08240845222814072,0.14699129327588048,0.11657396775748434
