,area,prior_other_anth,prior_wastewater,prior_coal,prior_landfills,prior_livestock,prior_ong,prior_total,post_other_anth,post_wastewater,post_coal,post_landfills,post_livestock,post_ong,post_mean,post_min,post_max,xhat_mean,xhat_min,xhat_max,diff_mean,diff_min,diff_max,dofs_mean,dofs_min,dofs_max,pop,epa_total,epa_livestock,epa_ong,epa_coal,epa_landfills,epa_wastewater,epa_other_anth,post_mean_pc
Georgia,153690.07389411415,11.670637573443429,5.329679176602892,0.02097494457699337,218.09084219491578,108.66354399150994,32.31309765562288,376.08877553667196,17.880619201416224,8.700601207695286,0.01067805341329912,373.83444564884184,126.77083365312845,47.459514047907575,574.6566918124026,508.8455681121045,655.0456550909413,1.5279815011558848,1.3529932324781322,1.7417314679391929,198.56791627573062,132.75679257543254,278.95687955426934,0.5707914959816345,0.4302910295725645,0.7298569233388389,10617423,466.1867771428572,113.62877596428571,50.92189432142857,0.0,257.9554037142857,29.68366646428571,13.99703675,5.4123933068542396e-05
Wisconsin,153966.4333402708,12.700572763358283,8.513232245010993,0.0,102.50423579117725,380.32095871581146,15.452430075483836,519.4914295908418,13.827542223076698,8.015924345127788,0.0,113.55123296745461,407.3604788461446,15.95370678823973,558.7088851700435,517.6540622843934,595.16225786992,1.075492016509473,0.9964631422160409,1.1456632852223907,39.217455579201655,-1.8373673064484137,75.67082827907825,0.45493030291862957,0.19665124226628936,0.6936520805656721,5822434,589.2911385714285,423.8409992857143,46.59257217857143,0.0,85.41549182142857,16.606659000000004,16.83541617857143,9.595795936373748e-05
Idaho,216265.85819606215,3.1701814914727895,1.4595510200286899,0.0,164.98244175949347,319.4201173836856,9.562493621303854,498.59478527598435,3.278305783482174,1.520083222378555,0.0,219.4611872630691,316.7210301981406,10.505427936316195,551.4860344033867,497.69619575097346,595.962798640482,1.106080630382297,0.9981977558700027,1.195284861053254,52.891249127402325,-0.8985895250108911,97.36801336449764,0.6072152631658093,0.49574402470316403,0.7485987833009764,1787065,362.57268964285714,316.18109185714286,12.911686964285714,0.0,20.12164239285714,5.0555373928571425,8.302731000000001,0.0003085987551674879
Minnesota,220512.3796492084,8.902338756724928,3.7756736391294328,0.0,76.29391326173209,291.19111950168127,29.831581261528896,409.9946264207966,9.651428370384632,3.7531212192062715,0.0,82.78678927257917,381.42598859809067,26.254948593724656,503.8722760539854,475.29856018885255,533.7925779807651,1.2289728781392317,1.1592799748088198,1.3019501807638547,93.87764963318884,65.30393376805597,123.79795155996857,0.5349576246015942,0.3318437403297779,0.694214619213796,5639632,430.40139214285716,294.83397085714284,47.952358607142855,0.0,54.16870189285715,17.89777342857143,15.548587392857144,8.934488563331533e-05
Mississippi,125688.65599978087,17.27918799598492,15.825021209706033,3.172697574744778,86.74435873032066,86.2998193379916,97.22143199496443,306.5425168437124,23.446745418297354,24.076179115843164,5.846817727159825,133.7216843899246,104.23941675356508,131.6041494317698,422.9349928365598,379.7573519983982,477.9094079408109,1.37969439669013,1.2388407190902448,1.5590313959106306,116.39247599284741,73.21483515468577,171.36689109709852,0.5581888505646176,0.3510086379771151,0.7544358195477828,2976149,297.62287946428575,76.59395157142858,90.94446110714286,2.9106664642857143,74.15347235714286,12.863056357142856,40.15727164285715,0.00014210813801209543
New York,136705.2729863351,19.10420777386071,35.23955869369358,0.0,139.53376634859052,169.63474080921455,84.1008196488263,447.61309327418564,22.944049262694126,43.06108149701288,0.0,153.50042449249784,139.1935304417178,46.75547242331049,405.4545581172331,351.96195738390327,444.8476044253171,0.9058147856029575,0.7863084495794871,0.9938216980458735,-42.15853515695255,-95.65113589028238,-2.7654888488685287,0.2991510009449323,0.13857213282540615,0.5004979047420367,19453561,533.9318782142858,230.10661650000003,138.91746842857145,0.0,108.51922003571431,29.74352653571428,26.64504682142857,2.0842176818795958e-05
Kentucky,104663.2292186635,7.393892899689525,4.28675693120945,201.77990482347573,107.70259518282472,152.4184732141097,92.35106580635933,565.9326888576685,6.90767725609425,3.8880615063264723,69.15098692407332,104.73432696447354,142.9556329075027,67.85644875588994,395.4931343143603,347.1485706763691,448.7326118130381,0.6988342290540959,0.6134096466084796,0.7929080978142506,-170.43955454330822,-218.7841181812994,-117.2000770446304,0.6174299273437952,0.4456078860980943,0.8161963885844638,4467673,511.77812178571423,154.44532335714283,114.52288217857144,60.95572228571429,159.7685479285714,12.612475142857143,9.47317092857143,8.852329485939555e-05
South Dakota,199563.29622530757,1.96244380420298,5.403702183249846,0.0,13.478806656225192,292.4871524936071,8.574590107196133,321.9066952444813,2.494218620334018,11.808672767263856,0.0,18.445793634089604,347.40684484902795,11.560673041964554,391.71620291268005,376.3563722193211,401.25824355533206,1.2168625527194457,1.1691473889149353,1.2465048086389907,69.80950766819879,54.449676974839804,79.35154831085077,0.4007650072018971,0.2707152093722893,0.5253367305236304,884659,362.1344889285715,332.0700436071428,12.232083571428573,0.0,11.172137107142857,4.730470642857143,1.9297539642857142,0.00044278778932072135
Missouri,180714.91526503966,38.59311037166076,10.388743200238999,0.3106100156386187,81.96479978670803,291.5495614691242,16.245706975907144,439.05253181927776,24.451705642419196,8.694483155891472,0.2660253566881776,53.546425394484956,266.2067927291288,13.548319439325136,366.7137517179377,339.31553655232636,394.4826108639695,0.8352388954424341,0.7728358498385678,0.8984861315555422,-72.33878010134002,-99.7369952669514,-44.56992095530825,0.5483165133769253,0.4314968901178364,0.6935295057242397,6137428,497.87020428571435,331.1692339285714,41.18815442857143,0.22819314285714284,65.40120925000001,15.93274225,43.950671321428565,5.975039572243255e-05
Virginia,110591.49219047328,11.697708980457243,22.631464265653594,172.44494210842117,170.8507476311545,111.75745154093354,60.89124146210674,550.2735559887267,10.579634691465921,22.242581248474036,19.986254453186852,169.10405034676597,108.84119991460612,31.19283890683083,361.94655956132976,298.87629100248466,428.03373907548735,0.6577575019228161,0.5431412935434747,0.777856276059641,-188.32699642739695,-251.39726498624202,-122.23981691323934,0.5458012811988154,0.3892280809380214,0.750471037501726,8535519,516.9749274999999,112.21727210714285,78.93662564285715,152.5396267857143,138.19447146428573,20.698043035714285,14.388888535714285,4.240475120040501e-05
