,area,prior_landfills,prior_wastewater,prior_ong,prior_livestock,prior_coal,prior_other_anth,prior_total,prior_gasdist,post_mean,post_min,post_max,post_hr_mean,post_hr_min,post_hr_max,diff_mean,diff_min,diff_max,dofs_mean,dofs_min,dofs_max,pop_2010,pop_2000,prior_postmeter,xhat_mean,xhat_min,xhat_max,post_mean_pc
"Indianapolis, IN",8174.1779332967035,22.372967976164965,1.5129231886541086,7.275277014756163,5.806403459037667,0.0,3.2002515727737535,46.00492684271655,3.620490872871184,101.11248206850605,84.2122875136846,127.21059756182385,70.7883514320999,58.18515214117047,90.3188634469837,57.324167984248206,40.42397342942676,83.422283477566,0.3174777419571658,0.14997820527300965,0.5976294226158534,1487483,1218919,2.2166127584587056,2.1978620336511643,1.83050584563677,2.76515161075544,6.797555472466311e-05
"Denver--Aurora, CO",7437.794912927668,42.30464437039525,2.039195025342996,19.035026534083798,6.934364370090954,0.0,3.2292690800480637,82.83973008720493,5.759248316204144,96.47490355160309,76.4078872963673,119.24914820969346,68.38436966888051,55.27344797780394,85.14642099629862,17.173155855437884,-2.8938603997979016,39.94740051352825,0.5690287145902021,0.4428879590768824,0.7221835975380629,2374203,1984889,3.5379823910397183,1.164597029107223,0.922357994357697,1.4395163780007556,4.063464815418189e-05
"Reading, PA",2130.9344619940816,11.401520320779255,0.33541896828767115,6.793855562256698,8.961491474171318,0.0743337631686464,0.46075665432599006,29.390289901523087,0.9661476066645674,104.02538346889357,65.7891831901831,157.73137007116335,67.32751370714055,40.60132976073338,106.97887585474693,75.03185911923941,36.795658840528944,128.73784572150922,0.3524799995123853,0.16303115972326093,0.6397083116080283,266254,240264,0.3967655518689384,3.539447341875409,2.238466629986311,5.366785104865171,0.000390699795942572
"Memphis, TN--MS--AR",6328.360746208047,20.143174209305187,8.077622914154773,4.81878679006396,3.2672804737634933,0.0,7.812257506469978,47.104572982282384,1.4057727074312374,80.76248000836519,69.66988711693944,95.77068574039487,64.85598482264163,52.32968278508053,83.15405244687608,35.23758540717657,24.144992515750815,50.24579113920625,0.463844462823397,0.2874757741160735,0.7037329081704022,1060061,972091,1.579678381093763,1.7145358697709177,1.479047207224331,2.0331504921277483,7.618663455062037e-05
"Birmingham, AL",8076.676516365729,31.547378654996738,5.724748359529411,28.479764286702462,2.7062876134315825,50.33607149449044,1.9115161410746162,123.87379892564724,2.0511522635813644,248.02386469094225,201.41238200644676,309.77372579565184,57.26088396020904,52.50800938328806,62.60744482945404,125.26694587713561,78.65546319264014,187.0168069818452,0.4776317957476666,0.2974085679660151,0.7349993503465115,749495,663615,1.1168801118406109,2.0022302282003444,1.625948213046574,2.5007203176322,0.00033092130660103435
"Austin, TX",7506.46523166341,23.083240064965278,1.0721491390318196,0.21555631538919712,8.435937459949631,0.0,1.3311428201397624,40.50103121235102,4.332764604793312,67.49617146115878,57.834313431137375,82.00235703567981,53.23505753853206,45.33863984261578,65.07927691521685,29.025381056889778,19.36352302686838,43.53156663141081,0.5109166465568297,0.3417579676885592,0.743319951991477,1362416,901920,2.0302408080820253,1.666529701608571,1.4279713799855167,2.024698003508432,4.9541528770330634e-05
"Savannah, GA",2458.387152480622,13.838511608866,0.15593032843775242,4.603553386492388,0.4196193206147124,0.0,1.0071825054373993,20.753994708825005,0.34074272350183155,57.23974071183494,47.52614377441558,71.56016081403229,49.73674057834097,39.69231710895096,64.99670637354617,36.87420083848486,27.160603901065496,51.1946209406822,0.21916792588247955,0.12722224019604908,0.35628925859644106,260677,208886,0.38845483547491966,2.7580107596103165,2.289975710276467,3.4480186498073793,0.0002195810935058902
"Fort Wayne, IN",2914.1920438863735,7.891788268787103,0.48017051540906264,0.9234856560309022,3.672295664578439,0.0,0.7110965175070136,14.939466438421915,0.7934712893398532,57.5878216859079,45.37819659614658,74.26034513465532,47.386370519221174,36.69667896624895,62.31779546288872,43.11551377425552,30.905888684494208,59.78803722300295,0.2944416416393614,0.17120615899929248,0.4858690154543357,313492,287759,0.4671585267695405,3.854744205442387,3.0374710357420214,4.970749486987675,0.00018369789878500215
"San Diego, CA",8187.99439822214,21.338848447688385,2.808760053638922,0.0,2.739430068209182,0.0,3.0559361970467327,37.31643235053336,2.9673830895715536,45.87778621691831,42.9865246570943,47.78557178388713,44.357870859795156,40.079848729332426,47.3907397688285,12.967428360763538,10.076166800939525,14.875213927732354,0.7126988689144964,0.5756603566163198,0.8688426779241687,2956746,2674436,4.406074494378586,1.229425840765364,1.1519462593127527,1.280550384211746,1.5516309556829807e-05
"Davenport, IA--IL",2891.8768312536013,11.85191085215801,0.5047126551776218,0.9660276697491355,6.76304624012068,0.0,0.8280981181212196,22.02452230700697,0.6934012495606383,56.643299287494244,47.81148921605073,71.83546762029616,42.202382991648335,34.40290767248285,54.70504913496775,35.03610250260694,26.204292431163424,50.22827083540885,0.2158797520845402,0.12785541986311574,0.35646214123970105,280051,270626,0.41732552211966045,2.5718287324430875,2.1708297936995344,3.2616129702591614,0.0002022606571213609
